"","lottery","eat_steak","cook_steak"
"1","Lottery A","Yes","Medium rare"
"2","Lottery A","Yes","Rare"
"3","Lottery B","Yes","Medium"
"4","Lottery B","Yes","Medium"
"5","Lottery A","Yes","Medium rare"
"6","Lottery A","No",""
"7","Lottery A","Yes","Medium rare"
"8","Lottery A","Yes","Medium"
"9","Lottery B","Yes","Medium rare"
"10","Lottery B","Yes","Medium rare"
"11","Lottery A","Yes","Medium rare"
"12","Lottery B","Yes","Medium"
"13","Lottery A","Yes","Rare"
"14","Lottery B","Yes","Medium Well"
"15","Lottery A","Yes","Medium Well"
"16","Lottery A","Yes","Medium"
"17","Lottery B","No",""
"18","Lottery A","Yes","Medium rare"
"19","Lottery B","No",""
"20","Lottery B","Yes","Medium rare"
"21","Lottery A","Yes","Medium rare"
"22","Lottery A","Yes","Medium Well"
"23","Lottery B","Yes","Medium rare"
"24","Lottery B","Yes","Medium rare"
"25","Lottery A","Yes","Medium Well"
"26","Lottery B","Yes","Medium"
"27","Lottery B","Yes","Medium rare"
"28","Lottery A","Yes","Medium"
"29","Lottery A","Yes","Medium"
"30","Lottery B","Yes","Medium"
"31","Lottery A","No",""
"32","Lottery B","No",""
"33","Lottery A","Yes","Medium"
"34","Lottery B","Yes","Medium rare"
"35","Lottery A","Yes","Medium"
"36","Lottery B","Yes","Well"
"37","Lottery A","No",""
"38","Lottery B","Yes","Medium"
"39","Lottery A","Yes","Medium"
"40","Lottery A","No",""
"41","Lottery A","Yes","Medium"
"42","Lottery A","No",""
"43","Lottery A","Yes","Medium"
"44","Lottery B","No",""
"45","Lottery B","Yes","Medium"
"46","Lottery B","Yes","Medium rare"
"47","Lottery B","Yes","Medium"
"48","Lottery A","Yes","Medium Well"
"49","Lottery B","Yes","Medium"
"50","Lottery A","No",""
"51","Lottery B","No",""
"52","Lottery A","Yes","Medium rare"
"53","Lottery B","Yes","Medium Well"
"54","Lottery B","Yes","Medium Well"
"55","Lottery A","Yes","Medium Well"
"56","Lottery A","Yes","Medium rare"
"57","Lottery A","Yes","Medium"
"58","Lottery A","Yes","Medium rare"
"59","Lottery B","Yes","Medium"
"60","Lottery A","",""
"61","Lottery A","Yes","Medium"
"62","Lottery B","Yes","Medium rare"
"63","Lottery A","Yes","Medium"
"64","Lottery B","Yes","Medium rare"
"65","Lottery A","Yes","Medium rare"
"66","Lottery A","Yes","Well"
"67","Lottery B","",""
"68","Lottery B","Yes","Medium Well"
"69","Lottery B","Yes","Medium"
"70","Lottery B","Yes","Medium rare"
"71","","Yes","Medium rare"
"72","Lottery B","No",""
"73","Lottery A","Yes","Medium"
"74","Lottery B","Yes","Medium rare"
"75","Lottery B","Yes","Rare"
"76","Lottery A","Yes","Medium rare"
"77","Lottery A","Yes","Medium"
"78","Lottery A","Yes","Medium rare"
"79","Lottery A","Yes","Medium rare"
"80","Lottery A","Yes","Medium"
"81","Lottery B","Yes","Medium Well"
"82","Lottery A","No",""
"83","Lottery B","Yes","Medium rare"
"84","Lottery A","No",""
"85","Lottery B","Yes","Medium rare"
"86","Lottery B","Yes","Medium Well"
"87","Lottery B","Yes","Rare"
"88","Lottery A","Yes","Rare"
"89","Lottery A","Yes","Medium rare"
"90","Lottery B","Yes","Medium Well"
"91","Lottery A","Yes","Medium"
"92","Lottery B","Yes","Medium rare"
"93","Lottery B","No",""
"94","Lottery A","No",""
"95","Lottery B","Yes","Medium rare"
"96","Lottery A","Yes","Medium rare"
"97","Lottery B","Yes","Medium rare"
"98","Lottery A","Yes","Medium rare"
"99","Lottery A","Yes","Medium"
"100","Lottery A","No",""
"101","Lottery B","Yes","Medium rare"
"102","Lottery B","No",""
"103","Lottery A","Yes","Medium Well"
"104","Lottery B","Yes","Medium"
"105","Lottery B","Yes","Medium Well"
"106","Lottery A","No",""
"107","Lottery A","Yes","Well"
"108","","Yes","Medium"
"109","Lottery A","Yes","Medium rare"
"110","Lottery B","Yes","Medium rare"
"111","Lottery A","No",""
"112","Lottery B","No",""
"113","Lottery B","Yes","Medium rare"
"114","Lottery A","No",""
"115","Lottery A","Yes","Medium"
"116","Lottery A","Yes","Well"
"117","Lottery A","No",""
"118","Lottery A","Yes","Medium"
"119","Lottery A","Yes","Rare"
"120","Lottery A","Yes","Medium Well"
"121","Lottery A","Yes","Medium Well"
"122","Lottery B","Yes","Medium"
"123","Lottery B","No",""
"124","Lottery B","Yes","Medium"
"125","Lottery B","Yes","Medium rare"
"126","Lottery B","Yes","Medium"
"127","Lottery B","No",""
"128","Lottery A","No",""
"129","Lottery A","Yes","Medium"
"130","Lottery A","Yes","Medium"
"131","Lottery A","Yes","Medium rare"
"132","Lottery A","Yes","Medium Well"
"133","Lottery A","No",""
"134","Lottery B","Yes","Medium rare"
"135","Lottery B","No",""
"136","Lottery B","Yes","Medium Well"
"137","Lottery A","No",""
"138","Lottery B","Yes","Medium Well"
"139","Lottery A","Yes","Medium"
"140","Lottery B","Yes","Medium rare"
"141","Lottery B","Yes","Medium"
"142","Lottery B","No",""
"143","Lottery A","Yes","Medium"
"144","Lottery B","Yes","Medium Well"
"145","Lottery B","No",""
"146","Lottery B","Yes","Medium"
"147","Lottery B","Yes","Medium"
"148","Lottery B","Yes","Medium rare"
"149","Lottery A","Yes","Medium rare"
"150","Lottery B","Yes","Medium"
"151","Lottery B","Yes","Rare"
"152","Lottery B","Yes","Medium rare"
"153","Lottery B","Yes","Well"
"154","Lottery A","Yes","Medium rare"
"155","Lottery A","Yes","Medium Well"
"156","Lottery A","Yes","Well"
"157","Lottery A","Yes","Medium rare"
"158","Lottery B","Yes","Medium"
"159","Lottery A","No",""
"160","Lottery B","No",""
"161","Lottery B","Yes","Medium"
"162","Lottery B","Yes","Medium rare"
"163","Lottery B","Yes","Medium rare"
"164","Lottery B","Yes","Medium rare"
"165","Lottery B","No",""
"166","Lottery B","Yes","Rare"
"167","Lottery B","Yes","Well"
"168","Lottery B","Yes","Medium"
"169","Lottery B","Yes","Medium"
"170","Lottery A","Yes","Medium"
"171","Lottery B","Yes","Medium rare"
"172","Lottery A","Yes","Medium Well"
"173","Lottery B","Yes","Medium rare"
"174","Lottery A","Yes","Well"
"175","Lottery B","No",""
"176","Lottery A","Yes","Well"
"177","Lottery B","Yes","Medium"
"178","Lottery B","Yes","Medium"
"179","Lottery B","No",""
"180","Lottery B","No",""
"181","Lottery B","Yes","Medium rare"
"182","Lottery A","No",""
"183","Lottery B","Yes","Well"
"184","Lottery B","Yes","Medium Well"
"185","Lottery B","Yes","Medium rare"
"186","Lottery B","Yes","Well"
"187","Lottery B","No",""
"188","Lottery B","Yes","Medium Well"
"189","Lottery A","Yes","Medium Well"
"190","Lottery B","Yes","Medium Well"
